model,target,split,precision,recall,f1,false_positive_rate,false_negative_rate,roc_auc,tn,fp,fn,tp,inference_seconds,train_seconds
gradient_boosting,multiclass,train,0.8763971635669314,0.7418562394073533,0.7460971669973816,0.0029075726647127,0.2581437605926467,0.8884083728036039,,,,,10.821398199999749,2523.8113154
gradient_boosting,multiclass,valid,0.763305416887392,0.7394406072217835,0.7111327271268189,0.0029004914723962,0.2605593927782165,0.8802276931150997,,,,,2.275064399999792,2523.8113154
gradient_boosting,multiclass,test,0.8167424333797035,0.7499198423054703,0.7413770495974816,0.0029125939769167,0.2500801576945297,0.8816142099990374,,,,,2.28830089999974,2523.8113154
xgboost,multiclass,train,0.9721806451761308,0.9542258023094976,0.9621532457552118,0.0001014771248863,0.0457741976905024,0.9999807255343136,,,,,19.73657160000039,553.7096627000001
xgboost,multiclass,valid,0.935032803945609,0.8814677323458355,0.8961910876221116,0.0001604621875666,0.1185322676541645,0.9994135142734276,,,,,4.154679900000701,553.7096627000001
xgboost,multiclass,test,0.923103132687904,0.8492970117595214,0.8682445010814257,0.000154847425145,0.1507029882404785,0.9998532888426396,,,,,4.077047000000675,553.7096627000001
mlp_neural_network,multiclass,train,0.7809288922326838,0.660685305164542,0.685105249576279,0.0009205314307626,0.3393146948354581,0.9912952370825152,,,,,3.803774599999997,462.2860994999992
mlp_neural_network,multiclass,valid,0.866901252568972,0.734985174679744,0.7558976055121801,0.000919859704785,0.2650148253202559,0.9985877455773092,,,,,0.7589148999995814,462.2860994999992
mlp_neural_network,multiclass,test,0.7907331747808489,0.6938448387095112,0.7046919372795377,0.0008998830723027,0.3061551612904888,0.9819234043801052,,,,,0.7724123999996664,462.2860994999992
mixture_of_experts,multiclass,train,0.9992410940852634,0.9920910916595932,0.9954297197576528,2.5674397789409392e-05,0.0079089083404069,0.9999998465839852,,,,,37.668498799999725,2446.1637082
mixture_of_experts,multiclass,valid,0.8698876032499464,0.827784743374551,0.843252831356039,0.000386495213021,0.172215256625449,0.999627852911766,,,,,7.924095899999884,2446.1637082
mixture_of_experts,multiclass,test,0.9400518451460396,0.8354239179843773,0.8694028310499889,0.0003740454597537,0.1645760820156228,0.9998901749942573,,,,,7.904479300001185,2446.1637082
logistic_regression,multiclass,train,0.731672914332782,0.6396270136556246,0.6486111058446827,0.0040854829846289,0.3603729863443755,0.9904719210669076,,,,,1.5821718000006513,
logistic_regression,multiclass,valid,0.764457485663248,0.6562606080334513,0.6690516892805347,0.0040436718317988,0.3437393919665486,0.9919324748153252,,,,,0.2988054000015836,
logistic_regression,multiclass,test,0.7488970824799186,0.654037088012046,0.6680477468847518,0.0040711476307443,0.345962911987954,0.9843105953319934,,,,,0.2941401999996742,
decision_tree,multiclass,train,0.9999839570102412,0.9996500292248668,0.9998166692047168,7.896588248847669e-05,0.0003499707751333,0.9999999660827223,,,,,0.8916513000003761,
decision_tree,multiclass,valid,0.8446714009458133,0.8645435115692419,0.8529330355999598,0.000413796090779,0.1354564884307581,0.932256390919081,,,,,0.1799645999999484,
decision_tree,multiclass,test,0.8847389170076042,0.8632795010415222,0.8676383534801768,0.0004086064972144,0.1367204989584778,0.9316192323397796,,,,,0.1818810999975539,
random_forest,multiclass,train,0.9997086231240838,0.9999264023516712,0.9998172662375652,2.5499580389772945e-05,7.359764832870858e-05,0.9999999654576064,,,,,17.565542300002562,
random_forest,multiclass,valid,0.8655740113547236,0.8515625269591471,0.8569142415290436,0.0003954227478491,0.1484374730408529,0.9984472099152514,,,,,3.7055858000021535,
random_forest,multiclass,test,0.939898937343774,0.8496860633122147,0.8773919221683907,0.0003730892353588,0.1503139366877852,0.9990843921826436,,,,,3.749212799997622,
