model,target,split,precision,recall,f1,false_positive_rate,false_negative_rate,roc_auc,tn,fp,fn,tp,inference_seconds,train_seconds
logistic_regression,binary,train,0.8815713956773216,0.860740422590506,0.8710313822165175,0.0234974998960136,0.139259577409494,0.9880190524718292,1432079,34460,41502,256517,0.404171833069995,31.30626416695304
logistic_regression,binary,valid,0.8814484126984127,0.8626078514273187,0.8719263673559834,0.0235760948771554,0.1373921485726812,0.9879054204226654,306850,7409,8774,55087,0.2985324999317527,31.30626416695304
logistic_regression,binary,test,0.8816848994257482,0.8607131112885799,0.8710727954169076,0.0234710859513967,0.1392868887114201,0.9880212862247428,306883,7376,8895,54966,0.1154888339806348,31.30626416695304
decision_tree,binary,train,1.0,0.998771890382828,0.9993855678964262,0.0,0.001228109617172,0.999999846741778,1466539,0,366,297653,2.663393083959818,76.0513934160117
decision_tree,binary,valid,0.9957062040650024,0.9949577989696372,0.9953318608330592,0.000871892292663,0.0050422010303628,0.9975670567345448,313985,274,322,63539,0.3096477079670876,76.0513934160117
decision_tree,binary,test,0.9961439588688946,0.9951300480731587,0.9956367453410312,0.0007827938102011,0.0048699519268411,0.9977133934235596,314013,246,311,63550,0.207212375011295,76.0513934160117
logistic_regression,binary,train,0.8815713956773216,0.860740422590506,0.8710313822165175,0.0234974998960136,0.139259577409494,0.9880190524718292,1432079,34460,41502,256517,0.9300940830726177,30.03494104114361
logistic_regression,binary,valid,0.8814484126984127,0.8626078514273187,0.8719263673559834,0.0235760948771554,0.1373921485726812,0.9879054204226654,306850,7409,8774,55087,0.2777301659807563,30.03494104114361
logistic_regression,binary,test,0.8816848994257482,0.8607131112885799,0.8710727954169076,0.0234710859513967,0.1392868887114201,0.9880212862247428,306883,7376,8895,54966,0.1181892089080065,30.03494104114361
decision_tree,binary,train,1.0,0.998771890382828,0.9993855678964262,0.0,0.001228109617172,0.999999846741778,1466539,0,366,297653,1.1216900409199295,68.83511900017038
decision_tree,binary,valid,0.9957062040650024,0.9949577989696372,0.9953318608330592,0.000871892292663,0.0050422010303628,0.9975670567345448,313985,274,322,63539,0.3359288750216365,68.83511900017038
decision_tree,binary,test,0.9961439588688946,0.9951300480731587,0.9956367453410312,0.0007827938102011,0.0048699519268411,0.9977133934235596,314013,246,311,63550,0.1470349580049514,68.83511900017038
random_forest,binary,train,0.997714515507448,0.999006774735839,0.9983602269526376,0.0004650404796599,0.000993225264161,0.999997825950352,1465857,682,296,297723,4.482377999927849,138.11338587501086
random_forest,binary,valid,0.9970393345551952,0.9966646309954432,0.9968519475637831,0.0006014147566179,0.0033353690045567,0.9999702595469372,314070,189,213,63648,0.8294669580645859,138.11338587501086
random_forest,binary,test,0.9969631032701428,0.9972753323624748,0.9971191933741448,0.0006173251999147,0.0027246676375252,0.9999728111075764,314065,194,174,63687,0.6885995839256793,138.11338587501086
gradient_boosting,binary,train,0.9950781525603104,0.984356702089464,0.9896883913856824,0.0009894043049656,0.0156432979105359,0.9991229627861224,1465088,1451,4662,293357,3.1256589158438146,1214.1883877078071
gradient_boosting,binary,valid,0.995093927548388,0.9845915347395124,0.9898148731188212,0.0009864474843998,0.0154084652604876,0.999151523397311,313949,310,984,62877,0.7051907079294324,1214.1883877078071
gradient_boosting,binary,test,0.9951600657977984,0.985233554125366,0.9901719321713812,0.0009737191297623,0.0147664458746339,0.9991675713917852,313953,306,943,62918,0.4932484589517116,1214.1883877078071
xgboost,binary,train,1.0,1.0,1.0,0.0,0.0,1.0,835,0,0,165,0.0025233749765902,0.3156704590655863
xgboost,binary,valid,0.9698795180722892,0.9583333333333334,0.9640718562874252,0.0060096153846153,0.0416666666666666,0.995457016941392,827,5,7,161,0.0016297497786581,0.3156704590655863
xgboost,binary,test,0.9644970414201184,0.953216374269006,0.9588235294117649,0.0072376357056694,0.0467836257309941,0.9943918904619812,823,6,8,163,0.001513082999736,0.3156704590655863
xgboost,binary,train,0.9968721115591218,0.998828933725702,0.9978495632920622,0.0006368736187718,0.0011710662742979,0.999985218726404,1465605,934,349,297670,1.8212901670485733,20.224512417102236
xgboost,binary,valid,0.9967637540453076,0.9983558040118382,0.9975591438227563,0.0006586923524863,0.0016441959881617,0.9999729966185468,314052,207,105,63756,0.460027958964929,20.224512417102236
xgboost,binary,test,0.9968746581657368,0.9989351873600476,0.9979038590892736,0.0006364177318708,0.0010648126399523,0.9999811814990892,314059,200,68,63793,0.3220262080430984,20.224512417102236
logistic_regression,binary,train,0.8815713956773216,0.860740422590506,0.8710313822165175,0.0234974998960136,0.139259577409494,0.9880190524718292,1432079,34460,41502,256517,0.3519179581198841,28.362565125105903
logistic_regression,binary,valid,0.8814484126984127,0.8626078514273187,0.8719263673559834,0.0235760948771554,0.1373921485726812,0.9879054204226654,306850,7409,8774,55087,0.2382308330852538,28.362565125105903
logistic_regression,binary,test,0.8816848994257482,0.8607131112885799,0.8710727954169076,0.0234710859513967,0.1392868887114201,0.9880212862247428,306883,7376,8895,54966,0.1203295830637216,28.362565125105903
logistic_regression,binary,train,0.8815713956773216,0.860740422590506,0.8710313822165175,0.0234974998960136,0.139259577409494,0.9880190524718292,1432079,34460,41502,256517,0.261753625003621,27.894318499835208
logistic_regression,binary,valid,0.8814484126984127,0.8626078514273187,0.8719263673559834,0.0235760948771554,0.1373921485726812,0.9879054204226654,306850,7409,8774,55087,0.1673059158492833,27.894318499835208
logistic_regression,binary,test,0.8816848994257482,0.8607131112885799,0.8710727954169076,0.0234710859513967,0.1392868887114201,0.9880212862247428,306883,7376,8895,54966,0.1282717499416321,27.894318499835208
decision_tree,binary,train,1.0,0.998771890382828,0.9993855678964262,0.0,0.001228109617172,0.999999846741778,1466539,0,366,297653,0.4104385829996317,67.16693675005808
decision_tree,binary,valid,0.9957062040650024,0.9949577989696372,0.9953318608330592,0.000871892292663,0.0050422010303628,0.9975670567345448,313985,274,322,63539,0.3025260840076953,67.16693675005808
decision_tree,binary,test,0.9961439588688946,0.9951300480731587,0.9956367453410312,0.0007827938102011,0.0048699519268411,0.9977133934235596,314013,246,311,63550,0.1492259169463068,67.16693675005808
logistic_regression,binary,train,0.8815713956773216,0.860740422590506,0.8710313822165175,0.0234974998960136,0.139259577409494,0.9880190524718292,1432079,34460,41502,256517,0.964777790941298,32.27364174998365
logistic_regression,binary,valid,0.8814484126984127,0.8626078514273187,0.8719263673559834,0.0235760948771554,0.1373921485726812,0.9879054204226654,306850,7409,8774,55087,0.3981528750155121,32.27364174998365
logistic_regression,binary,test,0.8816848994257482,0.8607131112885799,0.8710727954169076,0.0234710859513967,0.1392868887114201,0.9880212862247428,306883,7376,8895,54966,0.159820209024474,32.27364174998365
